locatedIn brunei south-eastern_asia,neighborOf brunei malaysia,neighborOf malaysia thailand,locatedIn thailand south-eastern_asia,
locatedIn brunei asia,neighborOf brunei malaysia,neighborOf malaysia brunei,locatedIn brunei asia,
neighborOf brunei malaysia,neighborOf brunei malaysia,
locatedIn netherlands western_europe,neighborOf netherlands germany,neighborOf germany netherlands,locatedIn netherlands western_europe,
neighborOf netherlands germany,neighborOf netherlands germany,
neighborOf netherlands belgium,neighborOf netherlands belgium,
locatedIn turkey western_asia,neighborOf turkey georgia,neighborOf georgia armenia,locatedIn armenia western_asia,
neighborOf turkey armenia,neighborOf turkey georgia,neighborOf georgia azerbaijan,neighborOf azerbaijan armenia,
neighborOf turkey azerbaijan,neighborOf turkey georgia,neighborOf georgia armenia,neighborOf armenia azerbaijan,
neighborOf turkey iran,neighborOf turkey georgia,neighborOf georgia azerbaijan,neighborOf azerbaijan iran,
neighborOf turkey greece,neighborOf turkey bulgaria,neighborOf bulgaria macedonia,neighborOf macedonia greece,
neighborOf turkey georgia,neighborOf turkey azerbaijan,neighborOf azerbaijan turkey,neighborOf turkey georgia,
neighborOf turkey bulgaria,neighborOf turkey azerbaijan,neighborOf azerbaijan turkey,neighborOf turkey bulgaria,
neighborOf turkey iraq,neighborOf turkey iraq,
neighborOf turkey syria,neighborOf turkey iraq,neighborOf iraq jordan,neighborOf jordan syria,
locatedIn angola middle_africa,neighborOf angola namibia,neighborOf namibia angola,locatedIn angola middle_africa,
locatedIn angola africa,neighborOf angola zambia,neighborOf zambia malawi,locatedIn malawi africa,
neighborOf angola dr_congo,neighborOf angola namibia,neighborOf namibia angola,neighborOf angola dr_congo,
neighborOf angola namibia,neighborOf angola namibia,
neighborOf angola zambia,neighborOf angola namibia,neighborOf namibia botswana,neighborOf botswana zambia,
neighborOf angola republic_of_the_congo,neighborOf angola namibia,neighborOf namibia angola,neighborOf angola republic_of_the_congo,
locatedIn armenia western_asia,neighborOf armenia georgia,neighborOf georgia armenia,locatedIn armenia western_asia,
locatedIn armenia asia,neighborOf armenia azerbaijan,neighborOf azerbaijan georgia,locatedIn georgia asia,
neighborOf armenia georgia,neighborOf armenia georgia,
neighborOf armenia azerbaijan,neighborOf armenia georgia,neighborOf georgia armenia,neighborOf armenia azerbaijan,
neighborOf armenia iran,neighborOf armenia iran,
neighborOf armenia turkey,neighborOf armenia iran,neighborOf iran armenia,neighborOf armenia turkey,
